                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2176,                 0.6631,                0.91979,                 2.3259,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.0589,                0.85695,                0.99198,                 2.0503,             0.00031843,             0.00031843,             0.00031843
                      3,                0.66474,                0.91711,                0.99866,                 1.9804,             0.00024251,             0.00024251,             0.00024251
