                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2025,                0.60881,                0.92924,                 2.3359,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.0138,                0.85314,                0.99599,                 2.0639,             0.00031843,             0.00031843,             0.00031843
                      3,                0.63871,                0.93458,                0.99866,                 1.9677,             0.00024251,             0.00024251,             0.00024251
